customer_id,name,phone,region,registration_date
a709f318-c421-4181-a732-55ae75beaa71,السيدة دعاء فصيل,996-695-6118,Medina,2025-06-21
7c836b73-52ce-49c4-a28c-e17cf4c437c1,السيدة حياة العجلان,3762369622,Medina,2024-06-04
85c81da7-7625-40f4-800d-029d9fdb133a,السيد غامد آل قصير,001-216-420-8240x92661,Jeddah,2024-12-11
b591177d-1af3-4a46-891f-1594e3d2302f,سلمان الشايع,001-501-557-3085x774,Riyadh,2024-11-02
2921641a-bd2f-4471-ab9f-e2a9f0772060,السيدة بوران بن لادن,(603)315-4328x5960,Riyadh,2025-04-24
da4c58dc-1a4d-4767-88bc-e349474f0bb8,المهندسة بلماء شربتلي,7505021342,Riyadh,2025-02-16
bf4c2f15-f7f3-428a-85fd-bd0d7241df97,المهندسة بدرالدّجى آل معيض,847-979-4377,Jeddah,2024-12-15
566c9a90-2121-459c-9733-54cd6dd229cb,السيدة نغم آل مقطة,641.243.9612x94584,Dammam,2024-10-15
a5fd39bc-6be0-4d0b-8b23-f3407c84c333,الأستاذ عدلي الجابر,(431)459-6196x9283,Dammam,2026-03-09
6da38001-29e4-4637-b684-66fb70bb1556,فوزي فصيل,(556)928-2935x255,Medina,2025-06-19
f51ac625-c582-4100-9174-8df4102ecc80,الدكتورة ميلاء الراشد,923-879-4827,Dammam,2025-04-05
7c7d1a7d-e3fb-4cf8-a2bb-1493ab6867e9,السيدة ريتال آل بن لافي,+1-361-266-1867,Riyadh,2024-08-13
c4202aab-a061-4b46-8196-f779507bb13a,المهندس ظاعن آل علي,001-237-508-8555x8857,Medina,2024-11-26
016c0c2e-e8e7-44f4-974b-daf25b4aca27,مرتجي آل بن لافي,573-691-5507x1709,Dammam,2025-06-28
4955826a-76c7-4a17-b667-8f9a402e6281,الدكتورة تالا آل عطفة,7748907666,Jeddah,2025-07-10
a23ad5b7-7bfa-40ff-a84d-e0bc469b348a,عبد الإله آل العسكري,594-943-9655,Jeddah,2025-11-16
4f5f13c2-ca99-4da9-b78f-8d7174d3337d,الدكتور تاج آل عطفة,001-917-450-7431x54307,Jeddah,2024-07-26
222ebd60-782f-469c-a6a0-059be17cad63,الأستاذة هند المشاولة,605.640.0906x8428,Riyadh,2025-01-16
89f2994f-6a79-490f-8aa7-1c80d30bef4b,بنفسج آل معيض,(790)225-3589x13843,Jeddah,2025-06-02
481cdf6e-4acc-456e-8d2b-d89e2fccfbd6,ميرال فصيل,(754)241-9734x19221,Jeddah,2025-02-19
f775e1e0-df71-4e5a-8203-5fd630e2eb62,الآنسة جهراء الخرافي,001-633-886-8368,Mecca,2024-04-04
a4a920d0-7eaa-4105-8b51-db78d82ad95b,الدكتور مقداد آل رفيع,001-349-556-8283x6250,Jeddah,2024-09-30
2f77d2a8-94e2-41fd-8c5f-6892cb245847,ريان آل معيض,989.261.3426,Medina,2024-08-16
349bf5e4-caca-4492-b3d8-91921a1e4e1a,آلاء المغاولة,753.502.2574,Jeddah,2024-04-02
b58f6c89-168c-4b08-a2e9-ed40d904a04a,إخلاص العجلان,+1-697-720-3960x5854,Mecca,2025-09-13
f52967fe-d9fa-442f-8189-ba1b654034a6,ريما آل عطفة,+1-842-313-8598,Dammam,2025-03-19
29b627dc-195c-4c3c-9821-83169d7c0f46,شهد الحكير,(553)529-2942x968,Mecca,2024-05-24
1098a483-5752-4dd4-98f1-f6a1774a62e7,الأستاذة بهية شربتلي,213-811-8343,Riyadh,2024-03-31
627cafb5-ab9e-4d95-aca3-45e6793a3250,السيدة ليساء آل محمد بن علي بن جماز,903-669-0935,Mecca,2026-01-20
63ec2b19-42ce-4f67-9018-debffa137140,المهندسة هناء آل مقطة,001-920-636-3678,Medina,2025-05-22
772b59bd-2b09-4263-8cba-3aec1a6b673c,السيد تقي آل عايض,001-519-542-5628,Dammam,2025-06-18
ea7b3c48-71ec-40ee-86d8-eb98cf86770f,المهندس نوّاف بقشان,(837)774-1222x6792,Jeddah,2025-07-16
77993e1e-535f-4fb7-941c-79b474953b7d,السيد محسن الراشد,+1-971-660-2739x946,Jeddah,2024-04-19
df93764b-6c84-40b7-b066-490f84733e2e,خالدي الراشد,995.304.3007,Medina,2025-10-16
1141afb5-343e-484b-a390-74f16558fd5a,الأستاذ شافع بقشان,208-725-6989x4286,Medina,2026-02-15
740dce56-bf44-4c9c-b268-39ab323688c0,المهندسة عالية بن لادن,001-215-329-7461x562,Mecca,2025-06-18
78f76ef0-ce3c-4054-a261-29e7983624b8,السيد عتيد آل رفيع,+1-244-558-4211x8408,Jeddah,2024-06-06
7b6c532a-437b-40e7-a1af-60cf820b1301,الدكتورة ريف آل بن لافي,3093952897,Mecca,2026-01-03
844290fc-2f0c-4352-bb09-0db146fdb571,ضياء المغاولة,001-499-917-3199,Dammam,2025-01-24
e795302d-181c-428a-9362-52b6a44f3ff2,دعاء آل رفيع,564-288-5071x249,Jeddah,2025-08-30
687201e8-5b67-48f5-be36-a6afec94b319,الدكتور مُرضي آل مقطة,+1-876-993-0254,Mecca,2024-05-26
8ac27262-32e2-4056-a5c4-513892ae2454,ثائر آل رفيع,2505003029,Mecca,2025-08-24
acc4d69e-10a8-44b1-9c29-7f47db7c2f77,يارا آل عطفة,209-562-8261x61466,Riyadh,2024-07-29
885aa13f-e855-43e1-9595-cb0b361a707b,الأستاذ ساطع المهيدب,2184653003,Riyadh,2024-08-17
bdc64521-7663-431e-881f-7c92d7664a70,فتوح آل مقطة,001-481-818-2125x2078,Medina,2025-11-02
